w1	w2	gold	Note
car	automobile	0.98
gem	jewel	0.96
journey	voyage	0.96
boy	lad	0.94
coast	shore	0.925
asylum	madhouse	0.9025
magician	wizard	0.875
midday	noon	0.855
furnace	stove	0.7775
food	fruit	0.77
bird	cock	0.7625
bird	crane	0.7425
tool	implement	0.7375
brother	monk	0.705
lad	brother	0.415
crane	implement	0.42
journey	car	0.29
monk	oracle	0.275
cemetery	woodland	0.2375
food	rooster	0.2225
coast	hill	0.2175
forest	graveyard	0.21
shore	woodland	0.1575
monk	slave	0.1375
coast	forest	0.105
lad	wizard	0.105
chord	smile	0.0325
glass	magician	0.0275
rooster	voyage	0.02
noon	string	0.002
cemetery	graveyard	0.97
cushion	pillow	0.96
cock	rooster	0.92
forest	woodland	0.9125
autograph	signature	0.8975
serf	slave	0.865
grin	smile	0.865
glass	tumbler	0.8625
cord	string	0.8525
hill	mound	0.8225
oracle	sage	0.6525
sage	wizard	0.615
magician	oracle	0.455
glass	jewel	0.445
cemetery	mound	0.4225
hill	woodland	0.37
crane	rooster	0.3525
furnace	implement	0.3425
bird	woodland	0.31
shore	voyage	0.305
mound	shore	0.2425
automobile	cushion	0.2425
boy	sage	0.24
grin	lad	0.22
asylum	cemetery	0.1975
cushion	jewel	0.1125
boy	rooster	0.11
graveyard	madhouse	0.11
asylum	monk	0.0975
asylum	fruit	0.0475
grin	implement	0.045
mound	stove	0.035
automobile	wizard	0.0275
autograph	shore	0.015
fruit	furnace	0.0125
cord	smile	0.005
love	sex	0.6769999999999999
tiger	cat	0.735
tiger	tiger	1.0
book	paper	0.746
computer	keyboard	0.762
computer	internet	0.758
plane	car	0.577
train	car	0.631
telephone	communication	0.75
television	radio	0.6769999999999999
media	radio	0.742
drug	abuse	0.6849999999999999
bread	butter	0.619
cucumber	potato	0.592
doctor	nurse	0.7
professor	doctor	0.662
student	professor	0.6809999999999999
smart	student	0.462
smart	stupid	0.581
company	stock	0.708
stock	market	0.808
stock	phone	0.162
stock	cd	0.131
stock	jaguar	0.092
stock	egg	0.181
fertility	egg	0.669
stock	live	0.373
stock	life	0.092
book	library	0.746
bank	money	0.8119999999999999
wood	forest	0.773
money	cash	0.915
professor	cucumber	0.031
king	cabbage	0.023
king	queen	0.858
king	rook	0.592
bishop	rabbi	0.669
jerusalem	israel	0.8460000000000001
jerusalem	palestinian	0.765
holy	sex	0.162
fuck	sex	0.944
maradona	football	0.8619999999999999
football	soccer	0.9029999999999999
football	basketball	0.6809999999999999
football	tennis	0.663
tennis	racket	0.756
arafat	peace	0.673
arafat	terror	0.765
arafat	jackson	0.25
law	lawyer	0.8380000000000001
movie	star	0.738
movie	popcorn	0.619
movie	critic	0.673
movie	theater	0.792
physics	proton	0.8119999999999999
physics	chemistry	0.735
space	chemistry	0.488
alcohol	chemistry	0.554
vodka	gin	0.8460000000000001
vodka	brandy	0.8130000000000001
drink	car	0.304
drink	ear	0.131
drink	mouth	0.596
drink	eat	0.687
baby	mother	0.7849999999999999
drink	mother	0.265
money	dollar	0.842
money	currency	0.9039999999999999
money	wealth	0.827
money	property	0.757
