w1	w2	over_ft23
abacılık	abartmacılık	0.9411764740943909
abacılık	abartıcılık	0.8235294222831726
abacılık	ablacılık	0.8235294222831726
abacılık	acılık	0.9230769276618958
abacılık	arabacılık	0.9411764740943909
abacılık	babacılık	0.8823529481887817
abacılık	bombacılık	0.7647058963775635
abacılık	kabalacılık	0.8235294222831726
abacılık	marabacılık	0.8823529481887817
abacılık	murabahacılık	0.8235294222831726
abacılık	sobacılık	0.7647058963775635
abacılık	tulumbacılık	0.7647058963775635
abacılık	çorbacılık	0.7647058963775635
abajur	abajurcu	0.8461538553237915
abajur	abajurculuk	0.8461538553237915
abajurcu	abajurculuk	0.8823529481887817
abanoz	abanozgiller	0.8461538553237915
abanozgiller	maydanozgiller	0.7599999904632568
abanık	yabanıllık	0.7692307829856873
abartma	abartmacı	0.8666666746139526
abartma	abartmacılık	0.8666666746139526
abartma	kabartma	0.8666666746139526
abartmacı	abartmacılık	0.8947368264198303
abartmacı	abartı	0.7692307829856873
abartmacılık	abartıcılık	0.782608687877655
abartmacılık	acılık	0.9230769276618958
abartmacılık	arabacılık	0.761904776096344
abartmacılık	aracılık	0.7647058963775635
abartmacılık	babacılık	0.7777777910232544
abartı	abartıcı	0.9230769276618958
abartı	abartıcılık	0.8461538553237915
abartı	abartılış	0.8461538553237915
abartı	kabartı	0.8461538553237915
abartı	kabartıcı	0.7692307829856873
abartıcı	abartıcılık	0.8823529481887817
abartıcı	kabartıcı	0.8823529481887817
abartıcılık	acılık	0.7692307829856873
abartıcılık	alıcılık	0.75
abartıcılık	arıcılık	0.7647058963775635
abartıcılık	atıcılık	0.8235294222831726
abartıcılık	ayartıcılık	0.782608687877655
abartıcılık	tartıcılık	0.8095238208770752
abdest	abdestbozan	0.8461538553237915
abdest	abdesthane	0.8461538553237915
abdest	abdestlik	0.8461538553237915
abdest	abdestlilik	0.8461538553237915
abdest	abdestsiz	0.8461538553237915
abdest	abdestsizlik	0.8461538553237915
abdestlik	abdestlilik	1.0
abdestlik	abdestsizlik	0.8421052694320679
abdestsiz	abdestsizlik	0.8947368264198303
aberasyon	liberasyon	0.7894737124443054
aberasyon	rasyon	0.8461538553237915
ablacı	ablacılık	0.8461538553237915
ablacı	tablacı	0.8461538553237915
ablacılık	acılık	0.9230769276618958
abstraksiyon	abstraksiyonizm	0.9200000166893005
abstraksiyon	aksiyon	0.9333333373069763
abstraksiyon	atraksiyon	0.8571428656578064
abstraksiyon	fraksiyon	0.7894737124443054
abstraksiyon	traksiyon	0.8947368264198303
